PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names	Affilated_author_affiliations	Is_valid_hit	Affiliated_author_affiliations
33180129	Evaluation of the Use of Combined Artificial Intelligence and Pathologist Assessment to Review and Grade Prostate Biopsies.	10.1001/jamanetworkopen.2020.23267	JAMA network open	2020	3.0	11	21.0	1.0	Stumpe_Martin_C			now with tempus labs, chicago, illinois.
32728249	Expanded encyclopaedias of DNA elements in the human and mouse genomes.	10.1038/s41586-020-2493-4	Nature	2020	583.0	7818	63.0	1.0	White_Kevin_P			tempus labs, chicago, il, usa.
31034050	Genome-Wide Analysis of Glioblastoma Patients with Unexpectedly Long Survival.	10.1093/jnen/nlz025	Journal of neuropathology and experimental neurology	2019	78.0	6	16.0	1.0	Taxter_Timothy			tempus, inc., chicago, illinois.
31040929	Clinical validation of the tempus xT next-generation targeted oncology sequencing assay.	10.18632/oncotarget.26797	Oncotarget	2019	10.0	24	22.0	22.0	Beaubier_Nike; Tell_Robert; Lau_Denise; Parsons_Jerod_R; Bush_Stephen; Perera_Jason; Sorrells_Shelly; Baker_Timothy; Chang_Alan; Michuda_Jackson; Iguartua_Catherine; MacNeil_Shelley; Shah_Kaanan; Ellis_Philip; Yeatts_Kimberly; Mahon_Brett; Taxter_Timothy; Bontrager_Martin; Khan_Aly; Huether_Robert; Lefkofsky_Eric; White_Kevin_P			tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.
30640733	Activating Structural Alterations in MAPK Genes Are Distinct Genetic Drivers in a Unique Subgroup Of Spitzoid Neoplasms.	10.1097/PAS.0000000000001213	The American journal of surgical pathology	2019	43.0	4	10.0	3.0	Taxter_Timothy_J; Beaubier_Nike; White_Kevin			tempus labs inc., chicago, il.; tempus labs inc., chicago, il.; tempus labs inc., chicago, il.
30643118	Author Correction: Characterization of Nigerian breast cancer reveals prevalent homologous recombination deficiency and aggressive molecular features.	10.1038/s41467-018-07886-4	Nature communications	2019	10.0	1	54.0	1.0	White_Kevin_P			tempus labs, inc., chicago, il, usa. kpwhite@uchicago.edu.
30517658	Spinal Pleomorphic Xanthoastrocytoma With a QKI-RAF1 Fusion.	10.1093/jnen/nly112	Journal of neuropathology and experimental neurology	2019	78.0	1	8.0	1.0	Schwarzbach_Anna			tempus, chicago, illinois.
30864330	Integrating RNA expression and visual features for immune infiltrate prediction.		Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing	2019	24.0		6.0	1.0	Reiman_Derek			tempus labs, chicago, il 60654, usa.
30698817	Propagation of Pericentral Necrosis During Acetaminophen-Induced Liver Injury: Evidence for Early Interhepatocyte Communication and Information Exchange.	10.1093/toxsci/kfz029	Toxicological sciences : an official journal of the Society of Toxicology	2019	169.0	1	6.0	1.0	Ropella_Glen_E_P			tempus dictum, inc., milwaukie, oregon.
30898262	RNA Sequencing of the Tumor Microenvironment in Precision Cancer Immunotherapy.	10.1016/j.trecan.2019.02.006	Trends in cancer	2019	5.0	3	3.0	3.0	Lau_Denise; Bobe_Alexandria_M; Khan_Aly_A			tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa; toyota technological institute at chicago, chicago, il 60637, usa. electronic address: aakhan@ttic.edu.
30692535	Author Correction: Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-019-08512-7	Nature communications	2019	10.0	1	18.0	1.0	White_Kevin_P			tempus labs, inc, chicago, il, usa.
30171177	Human Organoids Share Structural and Genetic Features with Primary Pancreatic Adenocarcinoma Tumors.	10.1158/1541-7786.MCR-18-0531	Molecular cancer research : MCR	2019	17.0	1	20.0	4.0	Ugolkov_Andrey; Zhang_Yilin; Roggin_Kevin; White_Kevin_P			tempus labs, chicago, illinois.; tempus labs, chicago, illinois.; department of surgery, the university of chicago medicine, chicago, illinois. kpwhite@uchicago.edu kevin@tempus.com.; tempus labs, chicago, illinois.
30696619	Tumor mutational burden and other predictive immunotherapy markers in histiocytic neoplasms.	10.1182/blood-2018-12-893917	Blood	2019	133.0	14	13.0	2.0	Lau_Denise; Nagle_Alison_M			tempus labs, chicago, il; and.; tempus labs, chicago, il; and.
30475255	Distinct Genomic Patterns in Pigmented Epithelioid Melanocytoma: A Molecular and Histologic Analysis of 16 Cases.	10.1097/PAS.0000000000001195	The American journal of surgical pathology	2019	43.0	4	12.0	3.0	Beaubier_Nike; White_Kevin; Taxter_Timothy_J			tempus labs inc., chicago, il.; tempus labs inc., chicago, il.; tempus labs inc., chicago, il.
31304394	Development and validation of a deep learning algorithm for improving Gleason scoring of prostate cancer.	10.1038/s41746-019-0112-2	NPJ digital medicine	2019	2.0		19.0	1.0	Stumpe_Martin_C			present address: ai and data science, tempus labs inc, chicago, united states.
31570899	Integrated genomic profiling expands clinical options for patients with cancer.	10.1038/s41587-019-0259-z	Nature biotechnology	2019	37.0	11	22.0	22.0	Beaubier_Nike; Bontrager_Martin; Huether_Robert; Igartua_Catherine; Lau_Denise; Tell_Robert; Bobe_Alexandria_M; Bush_Stephen; Chang_Alan_L; Hoskinson_Derick_C; Khan_Aly_A; Kudalkar_Emily; Leibowitz_Benjamin_D; Lozachmeur_Ariane; Michuda_Jackson; Parsons_Jerod; Perera_Jason_F; Salahudeen_Ameen; Shah_Kaanan_P; Taxter_Timothy; Zhu_Wei; White_Kevin_P			tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa. kevin@tempus.com.
33869370	Benevolent and Hostile Sexism in Social Spheres: The Impact of Parents, School and Romance on Belgian Adolescents' Sexist Attitudes.	10.3389/fsoc.2019.00047	Frontiers in sociology	2019	4.0		3.0	2.0	Mastari_Laora; Spruyt_Bram			tempus omnia revelat (tor) research group, department of sociology, vrije universiteit brussel, brussels, belgium.; tempus omnia revelat (tor) research group, department of sociology, vrije universiteit brussel, brussels, belgium.
31523482	Multi-Field-of-View Deep Learning Model Predicts Nonsmall Cell Lung Cancer Programmed Death-Ligand 1 Status from Whole-Slide Hematoxylin and Eosin Images.	10.4103/jpi.jpi_24_19	Journal of pathology informatics	2019	10.0		10.0	10.0	Sha_Lingdao; Osinski_Boleslaw_L; Ho_Irvin_Y; Tan_Timothy_L; Willis_Caleb; Weiss_Hannah; Beaubier_Nike; Mahon_Brett_M; Taxter_Tim_J; Yip_Stephen_S_F			tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.; tempus labs, inc, chicago, il usa.
31406351	An augmented reality microscope with real-time artificial intelligence integration for cancer diagnosis.	10.1038/s41591-019-0539-7	Nature medicine	2019	25.0	9	12.0	1.0	Stumpe_Martin_C			tempus labs inc., chicago, il, usa. cmermel@google.com.
31646182	Reply: 'The importance of study design in the application of artificial intelligence methods in medicine'.	10.1038/s41746-019-0175-0	NPJ digital medicine	2019	2.0		5.0	1.0	Stumpe_Martin_C			present address: tempus labs inc, chicago, il usa.
31921487	Whole-Slide Image Focus Quality: Automatic Assessment and Impact on AI Cancer Detection.	10.4103/jpi.jpi_11_19	Journal of pathology informatics	2019	10.0		8.0	1.0	Stumpe_Martin_C			current affiliation: tempus labs, chicago, il, usa.
31173346	Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.	10.1002/ijc.32498	International journal of cancer	2019	145.0	12	22.0	1.0	White_Kevin_P			tempus labs inc., chicago, il.
30128536	Association of Breast and Ovarian Cancers With Predisposition Genes Identified by Large-Scale Sequencing.	10.1001/jamaoncol.2018.2956	JAMA oncology	2019	5.0	1	17.0	1.0	Huether_Robert			tempus, chicago, illinois.
31306728	Distinct Genomic Features in a Retrospective Cohort of Mucosal, Acral and Vulvovaginal Melanomas.	10.1016/j.jaad.2019.07.017	Journal of the American Academy of Dermatology	2019			14.0	4.0	Igartua_Catherine; Beaubier_Nike; Taxter_Timothy_J; White_Kevin_P			tempus labs, inc., chicago, il.; tempus labs, inc., chicago, il.; tempus labs, inc., chicago, il.; tempus labs, inc., chicago, il.
31304402	Similar image search for histopathology: SMILY.	10.1038/s41746-019-0131-z	NPJ digital medicine	2019	2.0		14.0	1.0	Stumpe_Martin_C			present address: ai and data science, tempus labs inc, chicago, il usa.
31162949	Clinical Relevance of Noncoding Adenosine-to-Inosine RNA Editing in Multiple Human Cancers.	10.1200/CCI.18.00151	JCO clinical cancer informatics	2019	3.0		4.0	1.0	White_Kevin_P			tempus labs, chicago, il.
31544169	Prolonged Partial Response to Bevacizumab and Valproic Acid in a Patient With Glioblastoma.	10.1200/PO.18.00282	JCO precision oncology	2018	2.0		4.0	1.0	Palmer_Gary			tempus, chicago, il.
29899824	Clinical validation of the Tempus xO assay.	10.18632/oncotarget.25381	Oncotarget	2018	9.0	40	28.0	22.0	Beaubier_Nike; Tell_Robert; Huether_Robert; Bontrager_Martin; Bush_Stephen; Parsons_Jerod; Shah_Kaanan; Baker_Tim; Selkov_Gene; Taxter_Tim; Thomas_Amber; Bettis_Sam; Khan_Aly; Lau_Denise; Lee_Christina; Barber_Matthew; Frankenberger_Casey; Franzen_Amy; Weiner_Ali; Palmer_Gary; Lefkofsky_Eric; White_Kevin_P			tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.; tempus labs, inc., chicago, illinois 60654, usa.
29943666	Recurrent Glioblastoma Treated with Recombinant Poliovirus.	10.1056/NEJMoa1716435	The New England journal of medicine	2018	379.0	2	18.0	18.0	Desjardins_Annick; Gromeier_Matthias; Herndon_James_E; Beaubier_Nike; Bolognesi_Dani_P; Friedman_Allan_H; Friedman_Henry_S; McSherry_Frances; Muscat_Andrea_M; Nair_Smita; Peters_Katherine_B; Randazzo_Dina; Sampson_John_H; Vlahovic_Gordana; Harrison_William_T; McLendon_Roger_E; Ashley_David; Bigner_Darell_D			from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).; from the departments of neurosurgery (a.d., m.g., a.h.f., h.s.f., k.b.p., d.r., j.h.s., g.v., d.a., d.d.b.), biostatistics (j.e.h., f.m.), surgery (d.p.b., s.n.), and pathology (w.t.h., r.e.m.) and the preston robert tisch brain tumor center (a.d., m.g., j.e.h., d.p.b., a.h.f., h.s.f., f.m., s.n., k.b.p., d.r., j.h.s., g.v., w.t.h., r.e.m., d.a., d.d.b.), duke university medical center, and istari oncology (d.p.b.) - all in durham, nc; tempus labs, chicago (n.b.); and the school of medicine, deakin university, geelong, vic, australia (a.m.m.).
29662209	Dynamic coupling between conformations and nucleotide states in DNA gyrase.	10.1038/s41589-018-0037-0	Nature chemical biology	2018	14.0	6	7.0	1.0	Fernandes_Louis_E			tempus, inc., chicago, il, usa.
29728604	Integrated molecular subtyping defines a curable oligometastatic state in colorectal liver metastasis.	10.1038/s41467-018-04278-6	Nature communications	2018	9.0	1	25.0	1.0	White_Kevin_P			tempus labs, chicago, il, 60654, usa.
29794873	Genomic Fusions in Pigmented Spindle Cell Nevus of Reed.	10.1097/PAS.0000000000001074	The American journal of surgical pathology	2018	42.0	8	12.0	4.0	Igartua_Catherine; Taxter_Timothy; Beaubier_Nike; White_Kevin			tempus labs inc., chicago, il.; tempus labs inc., chicago, il.; tempus labs inc., chicago, il.; tempus labs inc., chicago, il.
29279606	Nuclear receptors in cancer - uncovering new and evolving roles through genomic analysis.	10.1038/nrg.2017.102	Nature reviews. Genetics	2018	19.0	3	3.0	1.0	White_Kevin_P			tempus labs, 600 west chicago ave., chicago, illinois 60654, usa.
30311380	Gene-specific criteria for PTEN variant curation: Recommendations from the ClinGen PTEN Expert Panel.	10.1002/humu.23636	Human mutation	2018	39.0	11	17.0	1.0	Huether_Robert			tempus labs, chicago, illinois.
30327465	Characterization of Nigerian breast cancer reveals prevalent homologous recombination deficiency and aggressive molecular features.	10.1038/s41467-018-06616-0	Nature communications	2018	9.0	1	54.0	1.0	White_Kevin_P			tempus labs inc., chicago, il, usa. kpwhite@uchicago.edu.
30545964	The transcription factor POU3F2 regulates a gene coexpression network in brain tissue from patients with psychiatric disorders.	10.1126/scitranslmed.aat8178	Science translational medicine	2018	10.0	472	27.0	1.0	White_Kevin_P			tempus labs inc., chicago, il, usa.
29434053	A Model Mechanism-Based Explanation of an In Vitro-In Vivo Disconnect for Improving Extrapolation and Translation.	10.1124/jpet.117.245019	The Journal of pharmacology and experimental therapeutics	2018	365.0	1	4.0	4.0	Smith_Andrew_K; Xu_Yanli; Ropella_Glen_E_P; Hunt_C_Anthony			bioengineering and therapeutic sciences, university of california, san francisco, california (a.k.s., y.x., c.a.h.); and tempus dictum, inc., milwaukie, oregon (g.e.p.r.).; bioengineering and therapeutic sciences, university of california, san francisco, california (a.k.s., y.x., c.a.h.); and tempus dictum, inc., milwaukie, oregon (g.e.p.r.).; bioengineering and therapeutic sciences, university of california, san francisco, california (a.k.s., y.x., c.a.h.); and tempus dictum, inc., milwaukie, oregon (g.e.p.r.).; bioengineering and therapeutic sciences, university of california, san francisco, california (a.k.s., y.x., c.a.h.); and tempus dictum, inc., milwaukie, oregon (g.e.p.r.) a.hunt@ucsf.edu.
30559362	Author Correction: Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-018-07842-2	Nature communications	2018	9.0	1	18.0	1.0	White_Kevin_P			tempus labs, inc., chicago, il, usa.
30545965	The <i>DGCR5</i> long noncoding RNA may regulate expression of several schizophrenia-related genes.	10.1126/scitranslmed.aat6912	Science translational medicine	2018	10.0	472	17.0	1.0	White_Kevin_P			tempus labs inc., chicago, il 60654, usa.
30425251	Author Correction: Integrated molecular subtyping defines a curable oligometastatic state in colorectal liver metastasis.	10.1038/s41467-018-07303-w	Nature communications	2018	9.0	1	25.0	1.0	White_Kevin_P			tempus labs, chicago, il 60654, usa.
28263985	Robust stratification of breast cancer subtypes using differential patterns of transcript isoform expression.	10.1371/journal.pgen.1006589	PLoS genetics	2017	13.0	3	9.0	1.0	White_Kevin_P			tempus labs, inc. chicago, il 60654, united states of america.
28052920	Evolution of transcript modification by <i>N</i><sup>6</sup>-methyladenosine in primates.	10.1101/gr.212563.116	Genome research	2017	27.0	3	8.0	1.0	White_Kevin_P			tempus health, incorporated, chicago, illinois 60654, usa.
29089486	Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-017-01355-0	Nature communications	2017	8.0	1	18.0	1.0	White_Kevin_P			tempus labs, inc., chicago, il, usa.
29151363	Functional assessment of human enhancer activities using whole-genome STARR-sequencing.	10.1186/s13059-017-1345-5	Genome biology	2017	18.0	1	6.0	1.0	White_Kevin_P			tempus labs, 600 west chicago ave., chicago, il, 60654, usa. kpwhite@uchicago.edu.
31245555	The science of Learning Health Systems: Foundations for a new journal.	10.1002/lrh2.10020	Learning health systems	2017	1.0	1	7.0	1.0	Silverstein_Jonathan_C			medical informatics tempus and kanter health foundation chicago illinois.
29061142	Systematic identification of regulatory variants associated with cancer risk.	10.1186/s13059-017-1322-z	Genome biology	2017	18.0	1	9.0	1.0	White_Kevin_P			tempus labs, inc., chicago, illinois, 60654, finland. kpwhite@uchicago.edu.
27984590	Competing Mechanistic Hypotheses of Acetaminophen-Induced Hepatotoxicity Challenged by Virtual Experiments.	10.1371/journal.pcbi.1005253	PLoS computational biology	2016	12.0	12	7.0	1.0	Ropella_Glen_E_P			tempus dictum, inc., milwaukie, or, united states of america.
