Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When							Disclosure: Additional Info									
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Year Quarter of Publication	Cancer Type	CLQ data usage	Utilized LENS	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Overall survival (OS) in advanced non-small cell lung cancer (aNSCLC) patients treated with frontline chemotherapy or immunotherapy by comorbidity: A real-world data (RWD) collaboration.	abstract	Ruth Pe Benito			Jeff Allen	Friends of Cancer Research	Kevin White	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1 2/11/20 	2020 Q1  2/11/20		5/13/20		2020 Q2	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	RNA pathway enrichment in serum-based mass spectroscopy prognostic analyses.	abstract				Mary J. Fidler	Borgia - Rush		R&D/Other	Journal of Clinical Oncology / ASCO 2020				5/13/20		2020 Q2	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Real-world conditional survival analysis of women with newly diagnosed ovarian cancer.	abstract	Shyam Khatau			Megan Othus	Merck		Pharma Commercial	Journal of Clinical Oncology / ASCO 2020				5/13/20		2020 Q2	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Evaluating the clinical, environmental, genetic, and genomic profile of men with early-onset aggressive prostate cancer (PCa).	abstract				Maha Hussain	Northwestern		Clinical Commercial	Journal of Clinical Oncology / ASCO 2020				5/13/20		2020 Q2	 Prostate cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Impact of neoadjuvant chemoradiation (CT-RT) on the molecular alterations in rectal cancer patients	abstract	David King				Levine Cancer Institute		Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1 2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Yes - IP not covered by patent, but will be prior to submission date	Tempus led	Greater than two coexisting mutations in KRAS and NRAS identified in the circulating tumor DNA fraction of liquid biopsies by NGS and confirmed with ddPCR	abstract	Hala Boulos			Rick Blidner	N/A	Nike Beaubier	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for display of "only abstract text"	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	An integrative molecular framework to predict homologous recombination deficiency	abstract	Josh SK Bell / Aarti Venkat			Kevin White	N/A	Kevin White	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for display of "only abstract text"	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	A phase II single-arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated classical Kaposi sarcoma (CKS).	abstract	Anna Schwarzbach			Michal Lotem	Alona Zer - Tel Aviv University	Gary Palmer	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1 2/11/20 	2020 Q1  2/11/20		5/13/20		2020 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for oral poster presentation	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Determining clinical relevance of genomic heterogeneity in an ethnically diverse cohort of newly diagnosed patients with breast cancer.	abstract	Taylor Abboushi			Funmi Olopade	Olopade - UoC		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	  Abstract #3084, Poster #76  Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019, 8:00 AM-11:00 AM	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Genomic profiling of residual tumor after neoadjuvant chemotherapy for breast cancer.	abstract	Taylor Abboushi			Olopade	Olopade - UoC		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract e12106 Online publication only	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Real-world outcomes of patients with advanced non-small cell lung cancer (aNSCLC) and autoimmune disease (AD) receiving immune checkpoint inhibitors (ICIs).	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer			Brigham Hyde	Concerto Health, FDA, CancerLinQ		Clinical/Pharma Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		 2019 Q1 2/12/19		5/26/19		2019 Q2	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #110 Session: Using Real-World Data to Advance Research and Care 6/3/2019, 9:45AM-11:15AM	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transcriptome-based cancer type prediction for tumors of unknown origin	abstract	Jack Michuda, Katie Igartua			Kevin White	N/A	Kevin White	Algos	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19		2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #3081, Poster #73 Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019, 8:00 AM-11:00 AM	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Characteristics of patients receiving immune checkpoint inhibitors (ICI) in ASCO’s CancerLinQ.	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer			Sean Khozin	Concerto Health, FDA, CancerLinQ		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #2566, Poster #210 Session: Developmental Immunotherapy and Tumor Immunobiology Hall A, 6/1/2019 8AM-11AM	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Real-world prevalence of autoimmune disease (AD) among patients (pts) receiving immune checkpoint inhibitors (ICI) in ASCO’s CancerLinQ database.	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer			Wendy S. Rubinstein	Concerto Health, FDA, CancerLinQ		Clinical/Pharma Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q2	Multiple cancer types	CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract 6583, Poster #274 Session: Health Services Research, Clinical Informatics, and Quality of Care Hall A, 6/1/2019 1:15PM-4:15PM	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Overestimation of tumor mutational burden (TMB) using algorithms compared to germline subtraction.	abstract	Bobby Huether			Aaron Mansfield	Kaushal Parikh, Alex A. Adjei, Aaron S. Mansfield - Mayo Clinic	Kevin White	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #2621, Poster #265 Session: Developmental Immunotherapy and Tumor Immunobiology Hall A, 6/1/2019 8AM-11AM	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Design and Development of the Molecular Analysis for Therapy Choice (NCI-MATCH) Designated Laboratory Network	abstract	Amy Hoyer			Chris Karlovich	James Tricoli - NCI	N/A	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q3	N/A	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #3016, Poster #8 Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019 8AM-11AM	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	A phase II single-arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated Classic Kaposi sarcoma (CKS).	abstract	Anna Schwarzbach			Michal Lotem	Alona Zer	N/A	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting				5/26/19		2019 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract #11064, Poster #387 Session: Sarcoma Hall A, 6/1/2019 8AM-11AM	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Distinct Genomic Features in a Retrospective Cohort of Mucosal, Acral and Vulvovaginal Melanomas	manuscript	TJ Taxter, Kevin White, Catherine Igartua			Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	Journal of American Academy of Dermatology				7/12/19		2019 Q3	 Melanoma	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.jaad.2019.07.017	31306728	Yes		
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Expanding the molecular taxonomy of NUT midline carcinomas – genomics, transcriptomics and proteomics	abstract	Alex Barrett	pp: Matthew Kase	Alex Barrett	Hank Kaplan	Hank Kaplan - Swedish Cancer Institute	Ania Schwarzbach	Clinical Commercial	JNCCN	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Other	No CLQ data included		No IRB Required				Yes	Accepted for online publication only.	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Case study: EGFR amplification and PD-L1 positive metastatic gastric cancer patient treated based on the xT results with dual anti-EGFR and anti-PD-1 monoclonal antibody	manuscript	Anna Schwarzbach			Daniel Catenacci	Daniel Catenacci - U Chicago	Kim Blackwell	Clinical Commercial	JCO Precision Oncology				10/2/20		2020 Q4	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1200/PO.20.00239	33215053	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Summary of the 12 Most Common Cancers in the CancerLinQ Discovery (CLQD) Database	manuscript	N/A	N/A	N/A	Robert S Miller	Robert S Miller - CancerLinQ	N/A	R&D/Other	JCO Clinical Cancer Informatics				6/10/21			Multiple cancer types	CLQ data included	No LENS usage 	No IRB Required		10.1200/CCI.21.00011	34110931	Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	BloodPAC Data Commons for Liquid Biopsy Data	manuscript	Jonathon Dry	-		Lauren Leiman 	Lauren Leiman - BloodPAC Consortium  Robert Grossman - U Chicago	Joel Dudley	R&D/Other	JCO Clinical Cancer Informatics		2021 Q2		4/30/21		2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1200/CCI.20.00179	33929890	No	From google scholar alert	
Stage 7: Published	Topic / Project-specific	Not Applicable	Collaborator led (Tempus authorship)	Tumor Mutational Burden From Tumor-Only Sequencing Compared With Germline Subtraction From Paired Tumor and Normal Specimens	manuscript	Bobby Huether			Aaron Mansfield	Kaushal Parikh, Mayo Clinic	Kevin White	Clinical Commercial	JAMA Network Open		2019 Q2  5/13/19	2019 Q4  12/18/19	2/28/20		2020 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1001/jamanetworkopen.2020.0202	32108894	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Gene-specific criteria for PTEN variant curation: Recommendations from the ClinGen PTEN Expert Panel	manuscript	Bobby Huether			Charis Eng	Jessica Mester - GeneDx; Charis Eng - Case Western 	Kevin White	Clinical Commercial	Human Mutation				10/11/18		2018 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1002/humu.23636	30311380	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Specifications of the ACMG/AMP variant interpretation guidelines for germline TP53 variants	manuscript	Robert  Huether			Sharon Savage	Sharon Savage - NIH / Clingen working group	Joel Dudley	Clinical Commercial	Human Mutation		2020 Q4		12/10/20		2020 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1002/humu.24152	33300245			
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Prevalence of microsatellite instability and monitoring response to immune checkpoint inhibition utilizing liquid biopsy among African American men with advanced prostate cancer	abstract	Alex Le/Ania Schwarzbach	pp: Namratha Sastry	Ania, Alex L, Maria Berezina, Samantha Cohen	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine - Ben Taub	Ania Schwarzbach	Clinical/Pharma Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021		2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	Abstracts to be submitted at end of 2021 to ASCO GU; Potential publication Q1 after ASCO GU	
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Genomic landscape of advanced prostate cancer in racial minority populations: Real-world experience in a safety-net hospital oncology clinic	abstract	Alex Le/Ania Schwarzbach	pp: Namratha Sastry	Ania, Alex L, Maria Berezina, Samantha Cohen	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine - Ben Taub	Ania Schwarzbach	Clinical/Pharma Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021		2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	Abstracts to be submitted at end of 2021 to ASCO GU; Potential publication Q1 after ASCO GU	
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Genomic characterization and molecular taxonomy of sarcomatoid variant prostate cancer	abstract	Alex Barrett	pp: Matthew Kase	Tim Taxter, Alex Barrett, Jeff Schaeffer	Mitchell Gross	Mitchell Gross - USC	Kim Blackwell	Clinical Commercial	Genitourinary Cancers Proceedings / ASCO GU 2021	2020 Q4 10/13/20	2020 Q4 10/13/20		2/8/2021		2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	Accepted for poster presentation at ASCO GU 2021	
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Comparative landscape of actionable somatic alterations in advanced cholangiocarcinoma from circulating tumor and tissue-based DNA profiling	abstract	Alex Barrett/Alex Le	pp: Matthew Kase	Alexander Barrett, Alexander Le	Pashtoon Kasi	Pashtoon Kasi - University of Iowa	Ania Schwarzbach	Clinical/Pharma Commercial	Gastrointestinal Cancers Proceedings / ASCO GI 2021	2020 Q3 09/23/2020	2020 Q3 09/23/2020		1/12/21		2021 Q1	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Oral presentation 3/31/21	#REF!
Stage 7: Published	Research Sales: Paid	Unknown	Collaborator led (Tempus authorship)	Chemoradiation-Induced Molecular Alterations and Associated Outcomes in Patients With Rectal Cancer	abstract	Sherif El-Refai	pp: Matthew Kase	Sherif El-Refai, David King	Mohamed Salem	Mohamed Salem - Levine Cancer Institute	Ania Schwarzbach	Clinical Commercial	Gastrointestinal Cancers Proceedings / ASCO GI 2021	2020 Q3 09/23/2020	2020 Q3 09/23/2020		1/12/21		2021 Q1	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Preclinical Evaluation of Artesunate as an Antineoplastic Agent in Ovarian Cancer Treatment	manuscript	Ameen Salahudeen	pp: Namratha Sastry	Ameen Salahudeen	Jill M. Kolesar	Justin Gorski - University of Kentucky	Joel Dudley	Clinical Commercial	Diagnostics	2020 Q4 12/1/20		Q1 2021 1/20/21	2/26/21		2021 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required		10.3390/diagnostics11030395	33652561		Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Phase Ib/II Trial of Quinacrine plus Capecitabine in Patients with Refractory Metastatic Colorectal Cancer	manuscript	Kevin White				Fox Chase Cancer Center / Brown University	Kevin White	Clinical Commercial	Clinical Colorectal Cancer	2020 Q3	2020 Q3		8/19/20		2020 Q3	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.clcc.2020.08.003	32972830	No		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Spatial and temporal heterogeneity of PD-L1 expression and tumor mutational burden (TMB) in gastroesophageal adenocarcinoma (GEA) at baseline diagnosis and after chemotherapy 	manuscript	Anna Schwarzbach			Daniel Catenacci	Daniel Catenacci - U Chicago	Kim Blackwell	Clinical Commercial	Clinical Cancer Research				12/1/20		2020 Q4	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1078-0432.CCR-20-2085	32820017	Not Applicable	From google scholar alert	
Stage 7: Published	Foundational Capabilities	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Real-world Evidence of Diagnostic Testing and Treatment Patterns in U.S. Breast Cancer Patients with Implications for Treatment Biomarkers from RNA-sequencing Data (v2)	manuscript	Louis Fernandes, Carrie Epstein, Josh SK Bell, Gary Palmer, Alex Bobe, Matthew Kase	Matthew Kase / Alex Bobe		Gary Palmer	Mark Pegram - Standford, Joyce O'Shaughnessy - Texas Oncology, Sarah Sammons - Duke Cancer Center	Gary Palmer	Clinical Commercial	Clinical Breast Cancer	2020 Q3  8/1/20	2020 Q3 8/28/20	2020 Q4  10/26/20	1/11/21		2021 Q1	 Breast cancer	CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption	Pro00039354	10.1016/j.clbc.2020.11.012	33446413	Yes	Idea from leadership; rejected by JCO PO (submitted Q4 2019); resubmission Q2 2020 to npj breast cancer but required major revisions; resubmission Q3 2020 to Clinical Breast Cancer	
Stage 7: Published	Topic / Project-specific	Contacted - Pending Decision	Collaborator led (Tempus authorship)	Deep Neural Networks Can Predict New-Onset Atrial Fibrillation From the 12-Lead Electrocardiogram and Help Identify Those at Risk of AF-Related Stroke	manuscript	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson, Noah Zimmerman	pp: Alex Bobe		Christopher Haggerty	 Brandon Fornwalt, Chris Haggerty - Geisinger Health	Martin Stumpe	Clinical Commercial	Circulation	2020 Q3	2020 Q3		2/16/21		2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1161/CIRCULATIONAHA.120.047829	33588584	Yes	Pre-print posted, will submit to journal soon. 	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Synthetic lethality-mediated precision oncology via the tumor transcriptome	manuscript	-	-		Eytan Ruppin	Eytan Ruppin - NIH  Joo Sang Lee - NIH, Samsung Medical Center		Clinical Commercial	Cell		2020 Q2 4/14/20		4/13/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.cell.2021.03.030	33857424	Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States	manuscript	Matthew MacKay, Gaurav Khullar, Jessica Metti, Joel Dudley, Megan Nash, Christopher Mason	Matthew Kase		Nathan D. Grubaugh	Nathan D. Grubaugh - Yale	Joel Dudley	Clinical Commercial	Cell		2021 Q1 02/10/21	2021 Q2 3/10/21	4/3/21		2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.cell.2021.03.061	33891875	Yes		
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Longitudinal monitoring of actionable somatic alterations in advanced cholangiocarcinoma from circulating tumor DNA profiling 	abstract	Alex Barrett/Alex Le	pp: Matthew Kase	Alex Barrett, Alexander Le, Greg Call	Pashtoon Kasi	Pashtoon Kasi - University of Iowa	Ania Schwarzbach	Clinical/Pharma Commercial	CCA Foundation Annual Meeting		2021 Q1		4/1/21		2021 Q2	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required				No	Accepted for oral presentation	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Matched Whole-Genome Sequencing (WGS) and Whole-Exome Sequencing (WES) of Tumor Tissue with Circulating Tumor DNA (ctDNA) Analysis: Complementary Modalities in Clinical Practice	manuscript	Ali Nagle			Ashiq Masood	Ashiq Masood - Rush University	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q3  7/29/19		9/19/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers11091399	31546879	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Mutation Status and Epithelial Differentiation Stratify Recurrence Risk in Chordoid Meningioma—A Multicenter Study with High Prognostic Relevance 	manuscript	Mike Caldwell (POp)			MM Georgescu	MM Georgescu - LSU Shreveport	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q4  11/9/19		1/17/20		2020 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers12010225	31963394	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Molecular portraits of metastatic breast cancer using tissue next-generation sequencing	abstract	Megan Pelino (POp)			Massimo Cristofanilli	Cristofanilli - Northwestern	Ania Schwarzbach	Clinical Commercial	Cancer Research / SABCS 2019				2/15/20		2020 Q1	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Evaluating clinical features and prognostic factors associated with response to immune checkpoint blockade in mNSCLC patients	abstract	Prerna Jain / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2587  Abstract Number: 773  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Cytotoxic CD4+ T cells mediate anti-tumor immune responses in non-small cell lung cancer	abstract	Denise Lau / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Algos	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2081  Abstract Number: 1487  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Characterizing differences in checkpoint inhibitor biomarkers, PD-L1 concordance, and the transcriptome in a real-world cohort of stage III and IV non-small cell lung cancer patients	abstract	Michelle Stein / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2571  Abstract Number: 1616  Accepted for: Poster	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Incidence of KRAS and other notable molecular alterations in patients (pts) with pancreatic cancer (PC) utilizing a commercially available comprehensive genomic profiling (CGP) panel and comparison to The Cancer Genome Atlas (TCGA) database	abstract	Alex Le	pp: Namratha Sastry	Alex Le, Jeff Schaefer, Nick Olsen, Matt Sonnleitner, and Lorenzo Grego	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher - Baylor College of Medicine	Ania Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2021 Q1 2/17/21	2020 Q4 11/19/20		3/10/21		2021 Q1	 Pancreatic cancer	No CLQ data included	LENS cohort selection & complete analysis	No IRB Required				Yes	Only using BCM panc. cases for abstract; not in ERRC spreadsheet  Abstract Control Number: 1749  Abstract Number: 867  Accepted for: Poster	
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Genomic Characterization and Monitoring Molecular Response to Treatment in African American (AA) Advanced Prostate Cancer (PC) Patients (Pts) via Next-Generation Sequencing (NGS): Real-world Experience in a Safety Net Hospital Oncology Clinic	abstract	Alexander Le	pp: Namratha Sastry	Alexander Le, Samantha Cohen, Maria Berezina, Anna Schwarzbach, 	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine	Anna Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4	2020 Q4		3/10/21		2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	Abstract Control Number: 1369   Abstract Number: 549  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Leveraging clinical RNA-sequencing for scalable tumor immune repertoire profiling	abstract	Taylor Harding, Jason Perera / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2635  Abstract Number: 1675  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Comprehensive validation of RNA-sequencing for clinical NGS fusion genes and RNA expression reporting	abstract	Jerod Parsons, John Hu / Bob Tell	Namratha Sastry		Bob Tell	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 4029  Abstract Number: 2239  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transferring diagnostic and prognostic molecular models across technological platforms	abstract	Stephane Wenric, Talal Ahmed	Namratha Sastry		Rafi Pelossof	N/A	Martin Stumpe	Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2878  Abstract Number: 242  Accepted for: Poster	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Recurrent transcriptional active ESR1 fusions render therapeutic vulnerabilities to kinase inhibition in metastatic breast cancer	abstract	Michael Caldwell (POp)			Matthew Ellis	Matthew Ellis	Kevin White	Clinical Commercial	Cancer Research / AACR 2020	2019 Q4 12/4/19	2019 Q4  12/5/19		5/15/20		2020 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
