Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When						Disclosure: Additional Info											
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Cancer Type	CLQ data usage	LENS Usage	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	Abstract Disclosure Type	Main Org Work Derived From	Disease Area
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Multi-field-of-view deep learning model predicts non-small cell lung cancer programmed death ligand-1 status from whole slide hematoxylin and eosin images	manuscript	Stephen Yip	N/A	Lingdao Sha, Boleslaw L Osinski, Irvin Y Ho, Caleb Willis, Nike Beaubier, Brett M Mahon, Tim J Taxter, Stephen S F Yip	Stephen Yip	N/A	Kevin White	R&D/Other	Journal of Pathology Informatics	2019 Q1  3/15/19	2019 Q1  3/26/19	5/28/19	7/23/19	2019 Q3	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		10.4103/jpi.jpi_24_19	31523482	Yes	Rejected from CCR, submitted to JPI	N/A	R&D	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Spinal Pleomorphic Xanthoastrocytoma with a QKI-RAF1 Fusion	manuscript	Anna Schwarzbach	N/A	Anna Schwarzbach	Kimo J Hatanpaa	Elena Dauod - UTSW	Gary Palmer	Clinical Commercial	Journal of Neuropathology and Experimental Neurology		N/A		11/5/18	2018 Q4	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1093/jnen/nly112	30517658	Yes	medical affairs in collaboration with the Neuropathology Dept at UT Southwestern	N/A	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Integrating Next Generation Sequencing with Morphology Improves Prognostic and Biologic Classification of Spitz Neoplasms	manuscript	Megan Pelino (POp)	N/A	Timothy Taxter, Nike Beaubier, Kevin White	Pedram Gerami	Gerami - Northwestern		Clinical Commercial	Journal of Infectious Diseases		2019 Q3 9/19/19		1/29/20	2020 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.jid.2019.12.031	32004563	Yes	Requested info on depositing data to public repository	N/A	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Molecular Analysis of Atypical Deep Penetrating Nevus Progressing to Melanoma	manuscript	Nike Beaubier	N/A	Nike Beaubier	Pedram Gerami	Gerami - Northwestern	Nike Beaubier	Clinical Commercial	Journal of Cutaneous Pathology		2020 Q2 4/8/2020		6/11/20	2020 Q2	 Melanoma	No CLQ data included	No LENS usage 	No IRB Required		10.1111/cup.13775	32526042	Yes		N/A	Medical Science	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Multimodal profiling of biliary tract cancers to detect potentially actionable biomarkers and differences in immune signatures between subtypes	abstract	Sherif El-Refai / Denise Lau	pp: Matthew Kase	Denise Lau, Sherif El-Refai, Prerna Jain	Kabir Mody	Kabir Mody - Mayo Clinic Florida	Ania Schwarzbach	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.4023	N/A	Yes	Accepted for poster presentation; Abstract Number for Publication: 4023	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Comprehensive Genomic Profiling in Advanced/Metastatic Colorectal Cancer: Number Needed to Test and Budget Impact of Expanded First-Line Use	abstract	Suzanne Belinson, Mina Allo	Matthew Kase	Suzanne Belinson, Mina Allo	Anuj Patel	Anuj Patel - Dana Farber	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.e18834	N/A	Yes	Accepted for online publication only	online-only abstract	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Primary Pancreatic Adenocarcinoma (PPDA) and Metastatic Pancreatic Adenocarcinoma (MPDA): Are they Genomically Distinct?	abstract	Jonathon Freaney	pp: Matthew Kase	Jonathan Freaney	Gazala Khan	Gazala Khan - Henry Ford Health System	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	 Pancreatic cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.e16226	N/A	Yes		online-only abstract	Sales	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	The TIME Trial Network to facilitate rapid clinical trial activation, patient screening, and enrollment in molecularly targeted trials.	abstract	Stephanie O'Leary; Matthew Cooney	Namratha Sastry	Stephanie O'Leary, Matthew Cooney, Megan Shulman, Kevin Ritt, Meghan Degele, Ewelina Protomastro, Jennifer Clauson, Amy Franzen, Kimberly L. Blackwell	Matthew Cooney	Vicor Priego - Center for Cancer and Blood Disorders Maryland, Minal Barve - MCCR, Raju Vaddepally and Angela Saverimuthu - Yuma Regional Medical Center, Ian C. Anderson - St. Joes Santa Rosa, David Oubre - Pontchartrain, Francis Senecal - Northwest Medical Specialties	Kim Blackwell; Amy Franzen	Therapy Solutions	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.1563	N/A	Yes	Accepted for poster presentation; Abstract Number for Publication: 1563	poster	Therapies	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Leveraging Machine Learning Technology to Efficiently Identify and Match Patients for Precision Oncology Clinical Trials	abstract	Laura  Sachse; Matthew Cooney	Namratha Sastry	Laura  Sachse, Marc  Ackermann, Emily  Patnaude, Stephanie  OLeary, Hussein  Al-Olimat, Alexander  Grigorenko, Andrew  Stewart, AnnaJane  Ward, Annie  Darmofal, Sowmya  Ballakur, William  Bennett, Amy  Franzen, Kimberly L. Blackwell, Matthew Cooney	Matthew Cooney	N/A	Kim Blackwell; Amy Franzen	Therapy Solutions	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.e13588	N/A	Yes	Accepted for online publication only; Abstract Number for Publication: e13588	online-only abstract	Therapies	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	A Review of Evidence Supporting NCCN Category 2B Off-Label Recommendations for Determination of Medicare Reimbursement Eligibility.	abstract	Molly DiScala, Ken Carson	Matthew Kase	Molly Erin  DiScala, Kenneth Robert Carson, Gary Irving Grad, Brett Mahon		N/A	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.6576	N/A	Yes	Accepted for poster presentation; Abstract Number for Publication: 6576	poster	Medical Science	Oncology
Stage 7: Published	External Research: Other	Unknown	Tempus led	Comprehensive Genomic Profiling of Pediatric Malignancies using the Tempus xT DNA and RNA-based Next-Generation Sequencing Assay Identifies Clinically Meaningful Alterations	abstract	Kristiyana Kaneva	Matthew Kase	Aneta  Kwiatkowska-Piwowarczyk, Jeff  Schaeffer, Anna Ewa  Schwarzbach, Kristiyana  Kaneva	Anna Schwarzbach	Stephanie Toll - Children's Hospital of Michigan, Stefanie Thomas - Cleveland Clinic Children's	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1200/JCO.2021.39.15_suppl.e22002	N/A	Yes	LENS analysis conducted by MA ; Accepted for online publication only 	online-only abstract	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Tempus led	Rate of incidental germline findings detected during NGS testing of pts with advanced cancer types that do not have universal germline testing recommendations	abstract	Arya Ashok, Jessica Stoll	Namratha Sastry	Arya Ashok, Jessica Stoll, Jeff Schaeffer, Kim Blackwell	Timothy Yap and Funda Meric-Bernstam - MD Anderson, Tianhong Li - UC Davis, Hyunseok Kang - UCSF, Judy E Garber - Dana Farber	Timothy Yap and Funda Meric-Bernstam - MD Anderson, Tianhong Li - UC Davis, Hyunseok Kang - UCSF, Judy E Garber - Dana Farber	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.10582	N/A	Yes	Accepted for poster presentation	poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Initiative for Molecular Profiling and Advanced Cancer Therapy (IMPACT2): Challenges and Opportunities in Conducting an MD Anderson Randomized Study in Precision Oncology.	abstract	Gary Palmer	-	Gary A.  Palmer	Apostolia M. Tsimberidou	Apostolia M. Tsimberidou - MD Anderson		Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.3140	N/A	No	Found from searching for Tempus affiliation	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	 Landscape of KRASG12C, associated genomic alterations, and interrelation with immuno-oncology (IO) biomarkers.	abstract	Sherif El-Refai	pp: Namratha Sastry	Sherif El-Refai	Mohamed Salem	Mohamed Salem - LCI	Ania Schwarzbach	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Multiple cancer types	No CLQ data included	LENS cohort selection & complete analysis	No IRB Required		10.1200/JCO.2021.39.15_suppl.3127	N/A	Yes	Accepted for poster presentation; Abstract Number for Publication: 3127	poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Characterizing demographics, clinical, and genomic characteristics for U.S. patients with HR+, HER2- metastatic breast cancer following progression on a CDK4 and 6 inhibitor.	abstract	N/A	N/A	N/A	Lee Bowen	Lee Bowman - Eli Lily	N/A	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2021.39.15_suppl.1015	N/A	Yes		poster	acknowlegement - unknown	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Expanding the molecular taxonomy of NUT midline carcinomas – genomics, transcriptomics and proteomics	abstract	Alex Barrett	pp: Matthew Kase	Alex Barrett	Hank Kaplan	Hank Kaplan - Swedish Cancer Institute	Ania Schwarzbach	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21	2021 Q2	Other	No CLQ data included		No IRB Required		10.1200/JCO.2021.39.15_suppl.e21008	N/A	Yes	Accepted for online publication only.	online-only abstract	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Towards cancer mega-cohorts: A novel homogenization algorithm applied to diverse breast cancer RNA-Seq datasets.	abstract	Stephane Wenric, Talal Ahmed	N/A	Talal Ahmed, Mark Carty, Stephane Wenric, Raphael Pelossof	Rafi Pelossof	N/A	Martin Stumpe	R&D/Other	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e13507	N/A	Yes	Originally denied by legal and was resubmitted with non-tempus data. Abstract ID is 295999	online-only abstract	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Contacted - Pending Decision	Tempus led	Learning Relevant H&E Slide Morphologies for Prediction of Colorectal Cancer Tumor Mutation Burden using Weakly Supervised Deep Learning.	abstract	Rohan Joshi	N/A	Rohan P. Joshi, Andrew J. Kruger, Lingdao Sha, Madhavi Kannan, Aly A. Khan, Martin Stumpe	Martin Stumpe	N/A	Martin Stumpe	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e15244	N/A	Yes		online-only abstract	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	H&E Image-based Consensus Molecular Subtypes Classification of Colorectal Cancer Using Weak Labeling	abstract	Andrew Kruger	N/A	Andrew J. Kruger, Lingdao Sha, Madhavi Kannan, Rohan P. Joshi, Benjamin D. Leibowitz, Renyu Zhang, Aly A. Khan, Martin Stumpe	Martin Stumpe	N/A	Martin Stumpe	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e16097	N/A	Yes		online-only abstract	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Trends in immunotherapy use in patients with advanced non-small cell lung cancer (aNSCLC) patients: Analysis of real-world data.	abstract	Ruth Pe Benito	N/A	Ruth Pe Benito	Jeff Allen	Friends of Cancer Research	Kevin White	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e19311	N/A	Yes		poster	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Overall survival (OS) in advanced non-small cell lung cancer (aNSCLC) patients treated with frontline chemotherapy or immunotherapy by comorbidity: A real-world data (RWD) collaboration.	abstract	Ruth Pe Benito	N/A	Ruth Pe Benito	Jeff Allen	Friends of Cancer Research	Kevin White	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e19270	N/A	Yes		online-only abstract	Medical Science	Oncology
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	RNA pathway enrichment in serum-based mass spectroscopy prognostic analyses.	abstract	N/A	N/A	N/A	Mary J. Fidler	Borgia - Rush		R&D/Other	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e15197	N/A	Yes		online-only abstract	acknowlegement - unknown	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Real-world conditional survival analysis of women with newly diagnosed ovarian cancer.	abstract	Shyam Khatau	N/A	N/A	Megan Othus	Merck		Pharma Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e18087	N/A	Yes		poster	Pharma	Oncology
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Evaluating the clinical, environmental, genetic, and genomic profile of men with early-onset aggressive prostate cancer (PCa).	abstract		N/A	N/A	Maha Hussain	Northwestern		Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	 Prostate cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e17517	N/A	Yes		online-only abstract	acknowlegement - unknown	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP not covered by patent, but will be prior to submission date	Tempus led	Greater than two coexisting mutations in KRAS and NRAS identified in the circulating tumor DNA fraction of liquid biopsies by NGS and confirmed with ddPCR	abstract	Hala Boulos	N/A	Hala Boulos, Robert Tell, Nike Beaubier, Richard Blidner	Rick Blidner	N/A	Nike Beaubier	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e15563	N/A	Yes	Accepted for display of "only abstract text"	online-only abstract	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	An integrative molecular framework to predict homologous recombination deficiency	abstract	Josh SK Bell / Aarti Venkat	N/A	Joshua SK Bell, Aarti Venkat, Jerod Parsons, Catherine Igartua, Benjamin D. Leibowitz, Robert Tell, Kevin White	Kevin White	N/A	Kevin White	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.e15664	N/A	Yes	Accepted for display of "only abstract text"	online-only abstract	R&D	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	A phase II single-arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated classical Kaposi sarcoma (CKS).	abstract	Anna Schwarzbach	N/A	Anna Ewa Schwarzbach	Michal Lotem	Alona Zer - Tel Aviv University	Gary Palmer	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1 2/11/20 	2020 Q1  2/11/20		5/13/20	2020 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2020.38.15_suppl.11518	N/A	Yes	Accepted for oral poster presentation	oral presentation	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Determining clinical relevance of genomic heterogeneity in an ethnically diverse cohort of newly diagnosed patients with breast cancer.	abstract	Taylor Abboushi	N/A	Nike Beaubier, Taylor Abboushi, Mathew Barber, Kevin White	Funmi Olopade	Olopade - UoC		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		 2019 Q1 2/12/19		5/26/19	2019 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.3084	N/A	Yes	  Abstract #3084, Poster #76  Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019, 8:00 AM-11:00 AM	poster	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Genomic profiling of residual tumor after neoadjuvant chemotherapy for breast cancer.	abstract	Taylor Abboushi	N/A	Nike Beaubier, Taylor Abboushi, Mathew Barber, Kevin White	Olopade	Olopade - UoC		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		 2019 Q1 2/12/19		5/26/19	2019 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.e12106	N/A	Yes	Abstract e12106 Online publication only	online-only abstract	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Real-world outcomes of patients with advanced non-small cell lung cancer (aNSCLC) and autoimmune disease (AD) receiving immune checkpoint inhibitors (ICIs).	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer	N/A	Ryan Fukushima, Denise Lau	Brigham Hyde	Concerto Health, FDA, CancerLinQ		Clinical/Pharma Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		 2019 Q1 2/12/19		5/26/19	2019 Q2	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.110	N/A	Yes	Abstract #110 Session: Using Real-World Data to Advance Research and Care 6/3/2019, 9:45AM-11:15AM	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transcriptome-based cancer type prediction for tumors of unknown origin	abstract	Jack Michuda, Katie Igartua	N/A	Jack Michuda, Catherine Igartua, Tim Taxter, Joshua SK Bell, Raphael Pelossof, Kevin White	Kevin White	N/A	Kevin White	Algos	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.3081	N/A	Yes	Abstract #3081, Poster #73 Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019, 8:00 AM-11:00 AM	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Characteristics of patients receiving immune checkpoint inhibitors (ICI) in ASCO’s CancerLinQ.	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer	N/A	Ryan Fukushima, Denise Lau	Sean Khozin	Concerto Health, FDA, CancerLinQ		Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.2566	N/A	Yes	Abstract #2566, Poster #210 Session: Developmental Immunotherapy and Tumor Immunobiology Hall A, 6/1/2019 8AM-11AM	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Real-world prevalence of autoimmune disease (AD) among patients (pts) receiving immune checkpoint inhibitors (ICI) in ASCO’s CancerLinQ database.	abstract	Denise Lau, Lisa Wolkoff, Sarah Mayer	N/A	Ryan Fukushima, Denise Lau	Wendy S. Rubinstein	Concerto Health, FDA, CancerLinQ		Clinical/Pharma Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	Multiple cancer types	CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.6583	N/A	Yes	Abstract 6583, Poster #274 Session: Health Services Research, Clinical Informatics, and Quality of Care Hall A, 6/1/2019 1:15PM-4:15PM	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Overestimation of tumor mutational burden (TMB) using algorithms compared to germline subtraction.	abstract	Bobby Huether	N/A	Robert  Huether, Kevin White, Derick  Hoskinson 	Aaron Mansfield	Kaushal Parikh, Alex A. Adjei, Aaron S. Mansfield - Mayo Clinic	Kevin White	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.2621	N/A	Yes	Abstract #2621, Poster #265 Session: Developmental Immunotherapy and Tumor Immunobiology Hall A, 6/1/2019 8AM-11AM	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Design and Development of the Molecular Analysis for Therapy Choice (NCI-MATCH) Designated Laboratory Network	abstract	Amy Hoyer	N/A	N/A	Chris Karlovich	James Tricoli - NCI	N/A	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.3016	N/A	Yes	Abstract #3016, Poster #8 Session: Developmental Therapeutics and Tumor Biology (Nonimmuno) Hall A, 6/1/2019 8AM-11AM	poster	Therapies	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	A phase II single-arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated Classic Kaposi sarcoma (CKS).	abstract	Anna Schwarzbach	N/A	N/A	Michal Lotem	Alona Zer	N/A	Clinical Commercial	Journal of Clinical Oncology / 2019 ASCO Meeting		2019 Q1  2/12/19		5/26/19	2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1200/JCO.2019.37.15_suppl.TPS604	N/A	Yes	Abstract #11064, Poster #387 Session: Sarcoma Hall A, 6/1/2019 8AM-11AM	poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Distinct Genomic Features in a Retrospective Cohort of Mucosal, Acral and Vulvovaginal Melanomas	manuscript	TJ Taxter, Kevin White, Catherine Igartua	N/A	Catherine Igartua, Timothy Taxter, Nike Beaubier	Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	Journal of American Academy of Dermatology		2019 Q2 04/19/19		7/12/19	2019 Q3	 Melanoma	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.jaad.2019.07.017	31306728	Yes		N/A	Medical Science	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Case study: EGFR amplification and PD-L1 positive metastatic gastric cancer patient treated based on the xT results with dual anti-EGFR and anti-PD-1 monoclonal antibody	manuscript	Anna Schwarzbach	N/A	N/A	Daniel Catenacci	Daniel Catenacci - U Chicago	Kim Blackwell	Clinical Commercial	JCO Precision Oncology		N/A		10/2/20	2020 Q3	Gastrointestinal cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1200/PO.20.00239	33215053	Yes		N/A	Medical Affairs	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Summary of the 12 Most Common Cancers in the CancerLinQ Discovery (CLQD) Database	manuscript	N/A	N/A	N/A	Robert S Miller	Robert S Miller - CancerLinQ	N/A	R&D/Other	JCO Clinical Cancer Informatics		N/A		6/10/21	2021 Q2	Multiple cancer types	CLQ data included	No LENS usage 	No IRB Required		10.1200/CCI.21.00011	34110931	Yes	Need access to add PDF to folder	N/A	acknowlegement - unknown	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	BloodPAC Data Commons for Liquid Biopsy Data	manuscript	Jonathon Dry	N/A	Jonathon Dry	Lauren Leiman 	Lauren Leiman - BloodPAC Consortium  Robert Grossman - U Chicago	Joel Dudley	R&D/Other	JCO Clinical Cancer Informatics		2021 Q2		4/30/21	2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1200/CCI.20.00179	33929890	No	From google scholar alert	N/A	R&D	Oncology
